location,total_sqft,bath,balcony,price,bedrooms,bed_per_bath,sqft_per_bath
other,1000.0,2.0,2.0,53.0,2,1.0,500.0
Yeshwanthpur,668.0,1.0,1.0,36.85,1,1.0,668.0
Uttarahalli,1089.0,2.0,1.0,43.55,2,1.0,544.5
Thanisandra,1800.0,3.0,3.0,90.0,3,1.0,600.0
Yelahanka New Town,960.0,2.0,1.0,18.0,1,0.5,480.0
Yelahanka,1036.0,2.0,3.0,39.35,2,1.0,518.0
Marathahalli,1583.0,3.0,3.0,105.0,3,1.0,527.6666666666666
7th Phase JP Nagar,3300.0,4.0,0.0,150.0,4,1.0,825.0
Padmanabhanagar,1100.0,2.0,2.0,65.0,2,1.0,550.0
Vittasandra,1246.0,2.0,1.0,65.0,2,1.0,623.0
Dodda Nekkundi,850.0,2.0,3.0,28.0,2,1.0,425.0
Raja Rajeshwari Nagar,1196.0,2.0,2.0,51.51,2,1.0,598.0
Thanisandra,1697.0,3.0,2.0,114.0,3,1.0,565.6666666666666
TC Palaya,1000.0,2.0,0.0,64.0,2,1.0,500.0
HRBR Layout,1567.0,3.0,3.0,90.0,3,1.0,522.3333333333334
Anekal,1200.0,1.0,1.0,36.0,2,2.0,1200.0
Sarjapur  Road,3750.0,6.0,3.0,290.0,4,0.6666666666666666,625.0
other,950.0,2.0,2.0,45.0,2,1.0,475.0
other,1022.0,2.0,2.0,52.0,2,1.0,511.0
Kammasandra,1018.0,2.0,0.0,23.45,2,1.0,509.0
other,2000.0,3.0,2.0,25.0,4,1.3333333333333333,666.6666666666666
Bharathi Nagar,1322.0,2.0,2.0,68.0,2,1.0,661.0
other,1800.0,4.0,2.0,145.0,4,1.0,450.0
Doddakallasandra,1460.0,2.0,2.0,58.39,3,1.5,730.0
other,990.0,2.0,1.0,44.55,2,1.0,495.0
Whitefield,1635.0,2.0,2.0,85.0,3,1.5,817.5
Padmanabhanagar,3400.0,3.0,1.0,210.0,4,1.3333333333333333,1133.3333333333333
EPIP Zone,3035.0,5.0,0.0,200.0,4,0.8,607.0
other,1533.0,3.0,2.0,85.0,3,1.0,511.0
Akshaya Nagar,1720.0,3.0,1.0,134.0,3,1.0,573.3333333333334
Frazer Town,2000.0,3.0,1.0,200.0,3,1.0,666.6666666666666
Yeshwanthpur,1185.0,2.0,2.0,75.84,2,1.0,592.5
Varthur Road,900.0,2.0,1.0,27.0,2,1.0,450.0
Attibele,395.0,1.0,1.0,10.25,1,1.0,395.0
Electronic City Phase II,1031.0,2.0,1.0,56.35,2,1.0,515.5
Thanisandra,2650.0,4.0,2.0,240.0,4,1.0,662.5
Uttarahalli,1330.0,2.0,2.0,46.55,3,1.5,665.0
Hennur,1259.0,2.0,2.0,57.0,2,1.0,629.5
Raja Rajeshwari Nagar,1570.0,3.0,2.0,88.0,3,1.0,523.3333333333334
Bisuvanahalli,1075.0,2.0,1.0,36.0,3,1.5,537.5
Whitefield,1216.0,2.0,1.0,79.0,2,1.0,608.0
Sarjapur  Road,1428.0,2.0,2.0,66.0,3,1.5,714.0
Begur Road,1160.0,2.0,2.0,40.59,2,1.0,580.0
other,1475.0,3.0,2.0,70.0,3,1.0,491.6666666666667
Harlur,1754.0,3.0,2.0,135.0,3,1.0,584.6666666666666
Rayasandra,1639.0,3.0,1.0,83.0,3,1.0,546.3333333333334
Hennur Road,1804.0,3.0,2.0,102.0,3,1.0,601.3333333333334
Whitefield,1200.0,3.0,2.0,56.2,3,1.0,400.0
other,1135.0,2.0,3.0,55.0,2,1.0,567.5
Begur Road,1260.0,2.0,2.0,46.62,2,1.0,630.0
Hennur Road,2160.0,3.0,2.0,160.0,3,1.0,720.0
Rachenahalli,1220.0,2.0,2.0,59.5,2,1.0,610.0
Margondanahalli,1200.0,2.0,0.0,67.0,2,1.0,600.0
Yelahanka,1300.0,2.0,3.0,65.0,2,1.0,650.0
other,605.0,1.0,1.0,29.0,1,1.0,605.0
Bhoganhalli,1444.0,2.0,1.0,75.97,2,1.0,722.0
Amruthahalli,924.0,2.0,1.0,45.0,2,1.0,462.0
Kaikondrahalli,1000.0,2.0,1.0,30.0,2,1.0,500.0
Bisuvanahalli,845.0,2.0,1.0,29.0,2,1.0,422.5
Kanakpura Road,700.0,2.0,1.0,35.0,2,1.0,350.0
Kothanur,1187.0,2.0,2.0,58.0,2,1.0,593.5
Kaggadasapura,1625.0,3.0,2.0,55.0,3,1.0,541.6666666666666
other,1200.0,2.0,2.0,83.0,2,1.0,600.0
other,1452.55,2.0,3.0,110.0,2,1.0,726.275
other,2357.0,3.0,2.0,151.0,3,1.0,785.6666666666666
Kaval Byrasandra,1200.0,2.0,1.0,49.5,2,1.0,600.0
Budigere,1139.0,2.0,2.0,56.85,2,1.0,569.5
Kanakpura Road,1660.0,3.0,3.0,75.0,3,1.0,553.3333333333334
other,1170.0,2.0,3.0,105.0,2,1.0,585.0
Somasundara Palya,1448.0,2.0,2.0,68.0,2,1.0,724.0
Kadugodi,1762.0,3.0,3.0,110.0,3,1.0,587.3333333333334
Kaggadasapura,1105.0,2.0,1.0,38.65,2,1.0,552.5
Yelahanka,1825.0,3.0,1.0,105.0,3,1.0,608.3333333333334
Thanisandra,1185.0,2.0,2.0,43.0,2,1.0,592.5
Electronic City Phase II,1320.0,2.0,1.0,38.12,3,1.5,660.0
Hulimavu,1058.0,2.0,1.0,48.0,2,1.0,529.0
Bellandur,1220.0,2.0,2.0,60.0,2,1.0,610.0
Sarjapur,925.0,2.0,1.0,25.0,2,1.0,462.5
Old Madras Road,1200.0,2.0,1.0,72.0,2,1.0,600.0
Kengeri,1160.0,2.0,2.0,40.6,3,1.5,580.0
other,1411.0,3.0,2.0,91.72,3,1.0,470.3333333333333
Bannerghatta Road,1550.0,3.0,2.0,78.0,3,1.0,516.6666666666666
Green Glen Layout,3250.0,4.0,3.0,230.0,4,1.0,812.5
7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4,1.0,625.75
Marathahalli,2524.0,5.0,2.0,190.0,4,0.8,504.8
Kaggadasapura,1063.0,2.0,2.0,42.0,2,1.0,531.5
Kanakpura Road,1077.0,2.0,1.0,37.7,2,1.0,538.5
other,1200.0,3.0,2.0,44.0,2,0.6666666666666666,400.0
Hosakerehalli,1500.0,3.0,2.0,70.0,4,1.3333333333333333,500.0
Jalahalli,1045.0,2.0,2.0,76.77,2,1.0,522.5
Kanakapura,1290.0,2.0,3.0,45.15,3,1.5,645.0
Hoodi,1400.0,2.0,1.0,78.0,2,1.0,700.0
Begur Road,1600.0,3.0,2.0,58.14,3,1.0,533.3333333333334
Nagavara,1545.0,2.0,1.0,58.0,3,1.5,772.5
Sarjapur  Road,1680.0,3.0,1.0,112.0,3,1.0,560.0
other,1350.0,2.0,1.0,67.5,2,1.0,675.0
Gottigere,950.0,2.0,1.0,38.0,2,1.0,475.0
Thanisandra,1050.0,2.0,2.0,45.0,2,1.0,525.0
Banashankari Stage V,1305.0,2.0,2.0,49.0,3,1.5,652.5
Kodichikkanahalli,2700.0,7.0,2.0,125.0,5,0.7142857142857143,385.7142857142857
other,1100.0,3.0,1.0,78.0,3,1.0,366.6666666666667
Thanisandra,3500.0,5.0,0.0,160.0,6,1.2,700.0
Begur Road,1634.0,3.0,1.0,83.33,3,1.0,544.6666666666666
other,1352.0,2.0,2.0,85.0,2,1.0,676.0
Balagere,1145.0,2.0,2.0,65.0,2,1.0,572.5
7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3,1.0,733.3333333333334
Bommasandra Industrial Area,1020.0,2.0,1.0,39.0,2,1.0,510.0
Raja Rajeshwari Nagar,1168.0,2.0,1.0,61.0,2,1.0,584.0
Electronic City Phase II,1205.0,2.0,1.0,75.0,2,1.0,602.5
Yeshwanthpur,1195.0,2.0,2.0,100.0,2,1.0,597.5
CV Raman Nagar,1028.0,2.0,1.0,49.0,2,1.0,514.0
other,1175.0,2.0,2.0,48.27,2,1.0,587.5
Pai Layout,1550.0,2.0,2.0,90.0,3,1.5,775.0
Yeshwanthpur,1826.0,3.0,2.0,165.0,3,1.0,608.6666666666666
Hoodi,2400.0,5.0,2.0,160.0,5,1.0,480.0
Yelahanka,1603.0,3.0,2.0,96.0,3,1.0,534.3333333333334
Marathahalli,1350.0,3.0,1.0,72.0,3,1.0,450.0
KR Puram,714.0,1.0,1.0,28.0,1,1.0,714.0
Whitefield,1215.0,2.0,3.0,65.0,2,1.0,607.5
Malleshpalya,1405.0,2.0,2.0,77.0,3,1.5,702.5
KR Puram,1142.0,2.0,1.0,51.0,2,1.0,571.0
other,4000.0,4.0,3.0,170.0,4,1.0,1000.0
Whitefield,1870.0,3.0,2.0,90.0,3,1.0,623.3333333333334
Subramanyapura,1313.0,2.0,2.0,73.0,2,1.0,656.5
other,1945.0,3.0,3.0,120.0,3,1.0,648.3333333333334
Thanisandra,1573.0,3.0,2.0,95.0,3,1.0,524.3333333333334
Sarjapur  Road,1255.0,2.0,1.0,92.0,2,1.0,627.5
other,1400.0,3.0,2.0,91.15,4,1.3333333333333333,466.6666666666667
Kannamangala,1235.0,2.0,2.0,43.63,2,1.0,617.5
Sarjapur  Road,1380.0,2.0,1.0,52.0,3,1.5,690.0
Vittasandra,1238.0,2.0,1.0,67.0,2,1.0,619.0
other,1465.0,2.0,3.0,74.72,3,1.5,732.5
Thigalarapalya,1418.0,2.0,2.0,103.0,2,1.0,709.0
other,1650.0,3.0,1.0,165.0,3,1.0,550.0
Anekal,351.0,1.0,1.0,16.0,1,1.0,351.0
Uttarahalli,1279.0,2.0,2.0,48.0,2,1.0,639.5
Hebbal,2526.0,2.0,2.0,250.0,3,1.5,1263.0
other,1550.0,2.0,1.0,150.0,3,1.5,775.0
Uttarahalli,1845.0,2.0,1.0,68.27,3,1.5,922.5
other,1360.0,2.0,1.0,59.27,3,1.5,680.0
other,1150.0,2.0,1.0,75.0,3,1.5,575.0
Whitefield,1260.0,2.0,2.0,49.5,2,1.0,630.0
other,1200.0,3.0,1.0,74.0,3,1.0,400.0
Dasanapura,965.0,2.0,1.0,42.5,2,1.0,482.5
Hoodi,1350.0,2.0,3.0,48.0,3,1.5,675.0
Bhoganhalli,1447.0,2.0,1.0,75.97,2,1.0,723.5
other,1229.0,3.0,1.0,86.03,3,1.0,409.6666666666667
Kudlu,1027.0,2.0,2.0,43.0,2,1.0,513.5
Gottigere,1153.0,2.0,1.0,48.5,2,1.0,576.5
Whitefield,2856.0,5.0,0.0,145.5,4,0.8,571.2
Malleshpalya,1065.0,2.0,2.0,50.0,2,1.0,532.5
other,1030.0,2.0,3.0,61.0,2,1.0,515.0
Mallasandra,1340.0,2.0,2.0,61.0,2,1.0,670.0
other,600.0,1.0,0.0,32.0,1,1.0,600.0
Begur Road,1410.0,2.0,3.0,44.42,3,1.5,705.0
Varthur,1055.0,2.0,2.0,45.35,2,1.0,527.5
Yelahanka,1304.0,2.0,1.0,79.0,2,1.0,652.0
Kammasandra,990.0,2.0,1.0,31.5,2,1.0,495.0
7th Phase JP Nagar,1035.0,2.0,1.0,39.33,2,1.0,517.5
Tumkur Road,700.0,1.0,0.0,30.09,1,1.0,700.0
Sonnenahalli,1120.0,2.0,2.0,43.0,2,1.0,560.0
Haralur Road,1300.0,2.0,2.0,73.0,2,1.0,650.0
Tumkur Road,1239.0,2.0,1.0,82.0,2,1.0,619.5
Sarjapur  Road,1403.0,3.0,3.0,51.63,3,1.0,467.6666666666667
Hosa Road,1365.0,2.0,1.0,92.0,2,1.0,682.5
Subramanyapura,1130.0,2.0,3.0,45.19,3,1.5,565.0
Green Glen Layout,1776.42,3.0,2.0,105.0,3,1.0,592.14
Haralur Road,1194.0,2.0,2.0,47.0,2,1.0,597.0
other,1107.0,2.0,2.0,33.0,2,1.0,553.5
Nagavara,2319.0,3.0,2.0,180.0,3,1.0,773.0
other,1520.0,3.0,3.0,80.0,3,1.0,506.6666666666667
Kannamangala,1536.0,3.0,1.0,89.0,3,1.0,512.0
other,3000.0,4.0,2.0,240.0,4,1.0,750.0
other,1050.0,2.0,1.0,38.0,2,1.0,525.0
Hoodi,1850.0,3.0,2.0,146.0,3,1.0,616.6666666666666
Billekahalli,1112.0,2.0,2.0,62.0,2,1.0,556.0
Marathahalli,1535.0,3.0,2.0,72.5,3,1.0,511.6666666666667
Kanakpura Road,1050.0,2.0,1.0,35.0,2,1.0,525.0
7th Phase JP Nagar,1250.0,3.0,2.0,65.0,3,1.0,416.6666666666667
Kalena Agrahara,1187.0,2.0,3.0,52.0,2,1.0,593.5
9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2,1.0,582.0
Electronic City Phase II,1395.0,2.0,1.0,62.78,3,1.5,697.5
Arekere,2072.0,3.0,2.0,108.0,3,1.0,690.6666666666666
Kanakpura Road,1450.0,3.0,3.0,60.91,3,1.0,483.3333333333333
Bannerghatta Road,1550.0,3.0,2.0,82.0,3,1.0,516.6666666666666
other,1315.0,2.0,2.0,90.0,2,1.0,657.5
Hebbal,3067.0,4.0,3.0,230.0,4,1.0,766.75
other,1210.0,2.0,2.0,72.0,2,1.0,605.0
Bisuvanahalli,1075.0,2.0,1.0,47.0,3,1.5,537.5
other,1215.0,3.0,1.0,42.2,3,1.0,405.0
Kaggadasapura,1470.0,2.0,2.0,75.0,3,1.5,735.0
Hosur Road,1590.0,2.0,2.0,125.0,3,1.5,795.0
Kanakpura Road,1050.0,2.0,1.0,36.75,2,1.0,525.0
Raja Rajeshwari Nagar,1306.0,2.0,1.0,55.91,2,1.0,653.0
other,1445.0,3.0,2.0,64.0,3,1.0,481.6666666666667
Sarjapur  Road,1220.0,3.0,2.0,58.0,3,1.0,406.6666666666667
Sarjapur,3190.0,3.0,1.0,160.0,4,1.3333333333333333,1063.3333333333333
Ramagondanahalli,1215.0,2.0,1.0,51.26,2,1.0,607.5
Budigere,1920.0,2.0,1.0,88.0,3,1.5,960.0
Dodda Nekkundi,1390.0,2.0,2.0,60.0,2,1.0,695.0
Hoodi,1196.0,2.0,0.0,71.74,2,1.0,598.0
Bannerghatta Road,1550.0,2.0,2.0,75.0,3,1.5,775.0
Thigalarapalya,1418.0,2.0,2.0,101.0,2,1.0,709.0
Varthur Road,1655.0,3.0,2.0,115.0,3,1.0,551.6666666666666
KR Puram,1115.0,2.0,2.0,33.45,2,1.0,557.5
other,1170.0,2.0,2.0,68.0,2,1.0,585.0
Anekal,1035.0,2.0,2.0,38.3,2,1.0,517.5
Singasandra,1306.0,2.0,2.0,58.0,3,1.5,653.0
Kengeri,750.0,2.0,2.0,22.0,2,1.0,375.0
Thanisandra,1917.0,3.0,3.0,122.0,3,1.0,639.0
Kaggadasapura,1615.0,3.0,3.0,58.0,3,1.0,538.3333333333334
Marathahalli,1071.0,2.0,2.0,52.25,2,1.0,535.5
Koramangala,1325.0,2.0,2.0,119.0,2,1.0,662.5
5th Phase JP Nagar,1400.0,2.0,1.0,88.0,3,1.5,700.0
Tumkur Road,1246.0,2.0,1.0,82.0,2,1.0,623.0
Sarjapur,1215.0,2.0,0.0,40.0,2,1.0,607.5
Munnekollal,1200.0,2.0,2.0,49.5,2,1.0,600.0
Kodigehaali,1200.0,2.0,2.0,60.0,2,1.0,600.0
Kaval Byrasandra,945.0,2.0,2.0,50.0,2,1.0,472.5
Hormavu,1175.0,2.0,1.0,52.0,2,1.0,587.5
Whitefield,920.0,2.0,1.0,63.0,2,1.0,460.0
other,1600.0,2.0,2.0,110.0,2,1.0,800.0
other,955.0,1.0,2.0,34.01,2,2.0,955.0
Ardendale,1750.0,3.0,3.0,100.0,3,1.0,583.3333333333334
Uttarahalli,1425.0,2.0,2.0,64.0,3,1.5,712.5
Whitefield,1165.0,2.0,1.0,40.5,2,1.0,582.5
Kaggadasapura,1050.0,2.0,2.0,48.0,2,1.0,525.0
other,1370.0,2.0,2.0,75.0,3,1.5,685.0
Electronic City,1374.0,2.0,1.0,72.0,3,1.5,687.0
Harlur,1754.0,3.0,2.0,124.0,3,1.0,584.6666666666666
Kothanur,1847.0,3.0,2.0,110.0,3,1.0,615.6666666666666
Ambedkar Nagar,1850.0,4.0,3.0,139.0,3,0.75,462.5
Chikka Tirupathi,3297.0,3.0,1.0,135.0,3,1.0,1099.0
other,1187.0,2.0,2.0,45.0,2,1.0,593.5
Bommasandra Industrial Area,1400.0,2.0,1.0,40.44,3,1.5,700.0
other,3000.0,2.0,2.0,120.0,3,1.5,1500.0
Thanisandra,693.0,1.0,1.0,34.3,1,1.0,693.0
KR Puram,1021.0,2.0,1.0,48.0,2,1.0,510.5
Thigalarapalya,1165.0,2.0,2.0,95.0,2,1.0,582.5
Horamavu Agara,1756.0,3.0,2.0,92.0,3,1.0,585.3333333333334
Bharathi Nagar,1739.0,3.0,1.0,105.0,3,1.0,579.6666666666666
Marathahalli,1215.0,2.0,2.0,58.86,2,1.0,607.5
Munnekollal,950.0,2.0,1.0,46.5,2,1.0,475.0
Kengeri,1082.0,2.0,1.0,49.0,3,1.5,541.0
7th Phase JP Nagar,1050.0,2.0,1.0,42.0,2,1.0,525.0
Devanahalli,1080.0,2.0,0.0,53.35,2,1.0,540.0
Arekere,1100.0,2.0,2.0,55.0,2,1.0,550.0
Ardendale,3200.0,4.0,1.0,205.0,4,1.0,800.0
Sarjapur  Road,1311.0,2.0,1.0,78.0,2,1.0,655.5
Raja Rajeshwari Nagar,1608.0,3.0,1.0,67.98,3,1.0,536.0
Begur Road,1160.0,2.0,2.0,36.0,2,1.0,580.0
Whitefield,1170.0,2.0,1.0,71.0,2,1.0,585.0
Kengeri,1155.0,2.0,2.0,40.6,2,1.0,577.5
Hebbal,1255.0,2.0,1.0,77.68,3,1.5,627.5
Rayasandra,1065.0,2.0,2.0,44.95,2,1.0,532.5
Neeladri Nagar,674.0,1.0,1.0,21.0,1,1.0,674.0
Ambedkar Nagar,1936.0,4.0,2.0,126.0,3,0.75,484.0
other,1100.0,2.0,1.0,38.45,2,1.0,550.0
Ramagondanahalli,2257.0,4.0,2.0,157.0,3,0.75,564.25
Nagarbhavi,1055.0,2.0,2.0,55.0,2,1.0,527.5
Raja Rajeshwari Nagar,1530.0,3.0,3.0,51.87,3,1.0,510.0
other,1700.0,3.0,1.0,97.0,3,1.0,566.6666666666666
Raja Rajeshwari Nagar,1575.0,2.0,2.0,78.0,3,1.5,787.5
Frazer Town,3500.0,4.0,2.0,330.0,3,0.75,875.0
Rajiv Nagar,1263.0,2.0,1.0,93.32,2,1.0,631.5
KR Puram,1559.0,3.0,0.0,69.315,3,1.0,519.6666666666666
Kengeri Satellite Town,1043.0,2.0,2.0,65.0,2,1.0,521.5
Hennur,1255.0,2.0,2.0,53.5,2,1.0,627.5
JP Nagar,1352.5,2.0,0.0,93.865,2,1.0,676.25
Chandapura,590.0,1.0,0.0,13.57,1,1.0,590.0
Yelahanka,1550.0,3.0,1.0,120.0,3,1.0,516.6666666666666
Sarjapur  Road,1220.0,3.0,3.0,56.0,3,1.0,406.6666666666667
other,1900.0,3.0,3.0,160.0,3,1.0,633.3333333333334
other,1360.0,3.0,3.0,55.0,3,1.0,453.3333333333333
other,1100.0,2.0,1.0,75.0,2,1.0,550.0
8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3,1.0,485.0
KR Puram,1035.0,2.0,1.0,40.5,2,1.0,517.5
Harlur,1152.0,2.0,2.0,69.0,2,1.0,576.0
Bellandur,1299.0,2.0,2.0,82.0,2,1.0,649.5
Sarjapur  Road,1157.0,2.0,1.0,75.0,3,1.5,578.5
Rachenahalli,1050.0,2.0,2.0,52.5,2,1.0,525.0
Pai Layout,1050.0,2.0,2.0,40.0,2,1.0,525.0
Vittasandra,1246.0,2.0,1.0,67.4,2,1.0,623.0
other,1929.0,3.0,2.0,115.0,3,1.0,643.0
Hennur,1285.0,2.0,1.0,60.0,2,1.0,642.5
Margondanahalli,1200.0,2.0,0.0,65.0,3,1.5,600.0
other,3161.0,4.0,3.0,214.0,4,1.0,790.25
Sompura,1025.0,2.0,0.0,37.0,3,1.5,512.5
Malleshwaram,1124.0,3.0,2.0,80.0,2,0.6666666666666666,374.6666666666667
Balagere,1012.0,2.0,1.0,54.59,2,1.0,506.0
8th Phase JP Nagar,871.0,2.0,2.0,55.0,2,1.0,435.5
other,1020.0,2.0,2.0,40.0,2,1.0,510.0
Rachenahalli,1550.0,3.0,3.0,73.5,3,1.0,516.6666666666666
Akshaya Nagar,1410.0,2.0,2.0,80.0,3,1.5,705.0
Chikka Tirupathi,3500.0,5.0,3.0,150.0,4,0.8,700.0
Whitefield,1118.0,2.0,1.0,75.0,2,1.0,559.0
Thanisandra,1098.0,2.0,1.0,68.0,2,1.0,549.0
Kanakapura,1130.0,2.0,1.0,45.2,2,1.0,565.0
Sarjapur  Road,1145.0,2.0,2.0,75.0,2,1.0,572.5
Kadugodi,950.0,3.0,1.0,80.0,3,1.0,316.6666666666667
other,1051.0,2.0,1.0,33.0,2,1.0,525.5
Marathahalli,1102.0,2.0,2.0,53.67,2,1.0,551.0
Jalahalli,1478.0,2.0,2.0,125.0,2,1.0,739.0
Chandapura,645.0,1.0,1.0,16.45,1,1.0,645.0
Hebbal,823.0,2.0,1.0,50.63,2,1.0,411.5
Abbigere,880.0,2.0,1.0,35.0,2,1.0,440.0
Budigere,1991.0,4.0,2.0,100.0,3,0.75,497.75
TC Palaya,1100.0,3.0,1.0,50.0,3,1.0,366.6666666666667
Gubbalala,1745.0,3.0,2.0,115.0,3,1.0,581.6666666666666
other,1100.0,2.0,1.0,70.0,2,1.0,550.0
5th Phase JP Nagar,1450.0,2.0,1.0,58.0,2,1.0,725.0
Sahakara Nagar,1150.0,2.0,1.0,54.0,2,1.0,575.0
Kanakpura Road,1843.0,3.0,2.0,95.84,3,1.0,614.3333333333334
other,2200.0,4.0,2.0,195.0,4,1.0,550.0
Bommanahalli,1090.0,3.0,2.0,44.0,2,0.6666666666666666,363.3333333333333
Kaggadasapura,1132.0,2.0,2.0,42.0,2,1.0,566.0
Hulimavu,1375.0,2.0,2.0,80.0,2,1.0,687.5
Thanisandra,760.0,1.0,2.0,50.3,1,1.0,760.0
Kaggadasapura,1180.0,2.0,2.0,65.0,2,1.0,590.0
Jigani,918.0,2.0,2.0,45.0,2,1.0,459.0
Margondanahalli,1200.0,1.0,0.0,53.0,2,2.0,1200.0
HSR Layout,1372.0,2.0,1.0,61.0,2,1.0,686.0
Ardendale,1728.0,3.0,2.0,95.0,3,1.0,576.0
BTM 2nd Stage,1200.0,2.0,2.0,80.0,2,1.0,600.0
other,1455.0,2.0,2.0,56.0,3,1.5,727.5
Rachenahalli,440.0,1.0,0.0,28.0,1,1.0,440.0
Kanakpura Road,1500.0,3.0,2.0,97.0,3,1.0,500.0
Mysore Road,1525.0,3.0,2.0,96.0,3,1.0,508.3333333333333
Rachenahalli,1204.0,2.0,3.0,38.5,2,1.0,602.0
Old Madras Road,1225.0,2.0,1.0,53.55,2,1.0,612.5
other,1200.0,2.0,0.0,55.0,2,1.0,600.0
9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2,1.0,502.5
Whitefield,1562.0,3.0,2.0,103.0,3,1.0,520.6666666666666
Ramamurthy Nagar,1200.0,2.0,3.0,42.0,2,1.0,600.0
Kasavanhalli,1555.0,3.0,2.0,82.5,3,1.0,518.3333333333334
KR Puram,1550.0,2.0,1.0,71.0,2,1.0,775.0
Whitefield,1190.0,2.0,2.0,67.0,2,1.0,595.0
Chikkalasandra,1070.0,2.0,2.0,50.0,2,1.0,535.0
Jalahalli East,1020.0,2.0,1.0,42.48,2,1.0,510.0
Yelahanka,1610.0,3.0,1.0,115.0,3,1.0,536.6666666666666
other,700.0,1.0,1.0,41.0,1,1.0,700.0
other,1300.0,2.0,1.0,49.0,3,1.5,650.0
Hebbal,1420.0,2.0,1.0,123.0,2,1.0,710.0
Hebbal,1069.0,3.0,2.0,65.4,3,1.0,356.3333333333333
Marathahalli,1900.0,3.0,3.0,123.0,3,1.0,633.3333333333334
Old Airport Road,1655.0,2.0,1.0,97.65,2,1.0,827.5
Uttarahalli,1155.0,2.0,2.0,40.42,2,1.0,577.5
Sarjapur  Road,1300.0,2.0,2.0,70.0,3,1.5,650.0
Electronic City,1100.0,2.0,2.0,45.0,2,1.0,550.0
Doddathoguru,1030.0,2.0,2.0,42.0,2,1.0,515.0
Vittasandra,2105.0,2.0,1.0,70.2,2,1.0,1052.5
Bhoganhalli,1700.0,3.0,2.0,126.0,3,1.0,566.6666666666666
Jakkur,1760.0,3.0,2.0,139.0,3,1.0,586.6666666666666
other,1400.0,2.0,1.0,67.0,2,1.0,700.0
other,1200.0,2.0,0.0,53.0,2,1.0,600.0
Bannerghatta Road,912.0,2.0,1.0,55.0,2,1.0,456.0
Whitefield,1102.0,2.0,1.0,48.0,2,1.0,551.0
other,1535.0,3.0,1.0,55.0,3,1.0,511.6666666666667
Haralur Road,1243.0,2.0,2.0,46.0,2,1.0,621.5
Jigani,918.0,2.0,2.0,63.2,2,1.0,459.0
Begur Road,1500.0,2.0,3.0,70.0,3,1.5,750.0
other,3000.0,3.0,0.0,250.0,3,1.0,1000.0
Kasavanhalli,1476.0,3.0,0.0,89.0,3,1.0,492.0
Mysore Road,1200.0,2.0,3.0,65.0,2,1.0,600.0
Vijayanagar,606.0,1.0,0.0,34.78,1,1.0,606.0
other,1100.0,2.0,3.0,61.0,2,1.0,550.0
Garudachar Palya,1295.0,2.0,1.0,59.5,3,1.5,647.5
Neeladri Nagar,527.0,1.0,0.0,26.0,1,1.0,527.0
OMBR Layout,1300.0,2.0,2.0,80.0,2,1.0,650.0
other,1260.0,1.0,0.0,41.0,1,1.0,1260.0
Koramangala,1140.0,2.0,1.0,75.2,2,1.0,570.0
other,1500.0,1.0,0.0,37.5,1,1.0,1500.0
Whitefield,2321.0,4.0,1.0,128.0,3,0.75,580.25
Sarjapur  Road,1390.0,2.0,2.0,62.0,2,1.0,695.0
Sarjapur  Road,1725.0,3.0,3.0,90.0,3,1.0,575.0
Hennur Road,1186.0,2.0,1.0,63.0,3,1.5,593.0
Kanakpura Road,1230.0,2.0,1.0,85.0,2,1.0,615.0
other,600.0,1.0,1.0,17.0,1,1.0,600.0
Yeshwanthpur,1313.0,3.0,1.0,96.0,3,1.0,437.6666666666667
TC Palaya,900.0,2.0,0.0,55.0,2,1.0,450.0
Ambalipura,1250.0,2.0,2.0,66.25,2,1.0,625.0
Binny Pete,660.0,1.0,1.0,54.0,1,1.0,660.0
Old Madras Road,1100.0,2.0,1.0,70.0,2,1.0,550.0
Electronics City Phase 1,1015.0,2.0,1.0,56.0,2,1.0,507.5
Gottigere,812.0,1.0,0.0,26.0,1,1.0,812.0
other,1360.0,2.0,2.0,65.0,3,1.5,680.0
other,2167.0,3.0,3.0,170.0,3,1.0,722.3333333333334
Raja Rajeshwari Nagar,1200.0,2.0,1.0,35.0,2,1.0,600.0
other,1165.0,2.0,2.0,75.0,2,1.0,582.5
BTM 2nd Stage,1274.0,2.0,2.0,70.0,2,1.0,637.0
Raja Rajeshwari Nagar,1151.0,2.0,2.0,39.02,2,1.0,575.5
Thubarahalli,1626.0,2.0,2.0,120.0,3,1.5,813.0
Banashankari Stage V,1035.0,2.0,2.0,35.77,2,1.0,517.5
other,1272.0,4.0,0.0,75.0,3,0.75,318.0
other,965.0,2.0,1.0,45.0,2,1.0,482.5
other,1600.0,5.0,2.0,140.0,5,1.0,320.0
Kothannur,1070.0,2.0,1.0,42.79,2,1.0,535.0
Raja Rajeshwari Nagar,1570.0,2.0,2.0,65.0,3,1.5,785.0
other,780.0,2.0,2.0,25.0,2,1.0,390.0
other,1000.0,2.0,1.0,65.0,3,1.5,500.0
5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3,1.5,850.0
Kereguddadahalli,904.0,2.0,1.0,30.0,2,1.0,452.0
